IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.210.175.109,8443,8443,true,HKG,Asia Pacific,Hong Kong,44,5.10
47.245.86.230,2083,2083,true,SIN,Asia Pacific,Singapore,88,5.10
8.222.137.192,8443,8443,true,SIN,Asia Pacific,Singapore,152,5.09
8.217.127.73,2083,2083,true,HKG,Asia Pacific,Hong Kong,66,5.09
47.242.79.71,2053,2053,true,HKG,Asia Pacific,Hong Kong,53,5.09
47.243.234.9,2083,2083,true,HKG,Asia Pacific,Hong Kong,71,5.09
8.219.67.133,8443,8443,true,SIN,Asia Pacific,Singapore,78,5.08
47.236.146.249,2053,2053,true,SIN,Asia Pacific,Singapore,153,5.08
8.219.114.201,2053,2053,true,SIN,Asia Pacific,Singapore,87,5.07
8.222.146.222,2053,2053,true,SIN,Asia Pacific,Singapore,75,5.07
47.245.86.230,2096,2096,true,SIN,Asia Pacific,Singapore,65,5.07
8.217.164.10,2087,2087,true,HKG,Asia Pacific,Hong Kong,63,5.06
8.218.146.204,2087,2087,true,HKG,Asia Pacific,Hong Kong,74,5.05
47.236.17.193,2083,2083,true,SIN,Asia Pacific,Singapore,40,5.04
8.219.201.245,443,443,true,SIN,Asia Pacific,Singapore,49,5.04
8.218.136.25,2096,2096,true,HKG,Asia Pacific,Hong Kong,118,5.04
8.219.0.162,443,443,true,SIN,Asia Pacific,Singapore,95,5.03
8.219.50.180,2053,2053,true,SIN,Asia Pacific,Singapore,75,5.03
47.236.232.148,8443,8443,true,SIN,Asia Pacific,Singapore,52,5.03
47.236.189.92,2087,2087,true,SIN,Asia Pacific,Singapore,61,5.01
47.245.114.163,2083,2083,true,SIN,Asia Pacific,Singapore,12,5.01
47.236.104.11,2096,2096,true,SIN,Asia Pacific,Singapore,108,5.01
8.217.85.14,2087,2087,true,HKG,Asia Pacific,Hong Kong,59,5.01
47.236.253.41,8443,8443,true,SIN,Asia Pacific,Singapore,95,5.01
47.236.165.25,8443,8443,true,SIN,Asia Pacific,Singapore,83,5.01
8.218.155.238,2083,2083,true,HKG,Asia Pacific,Hong Kong,82,5.00
47.236.145.85,8443,8443,true,SIN,Asia Pacific,Singapore,56,5.00
8.219.174.142,443,443,true,SIN,Asia Pacific,Singapore,50,4.99
47.236.9.152,2096,2096,true,SIN,Asia Pacific,Singapore,86,4.98
47.236.205.188,2087,2087,true,SIN,Asia Pacific,Singapore,78,4.97
47.237.8.82,8443,8443,true,SIN,Asia Pacific,Singapore,67,4.97
8.217.91.121,2087,2087,true,HKG,Asia Pacific,Hong Kong,58,4.97
47.243.173.187,2096,2096,true,HKG,Asia Pacific,Hong Kong,61,4.96
47.243.183.127,2083,2083,true,HKG,Asia Pacific,Hong Kong,68,4.96
8.210.207.214,2096,2096,true,HKG,Asia Pacific,Hong Kong,56,4.96
8.218.146.204,2096,2096,true,HKG,Asia Pacific,Hong Kong,113,4.94
8.222.137.192,2087,2087,true,SIN,Asia Pacific,Singapore,156,4.94
8.219.87.30,2083,2083,true,SIN,Asia Pacific,Singapore,79,4.94
47.238.6.102,2096,2096,true,HKG,Asia Pacific,Hong Kong,94,4.94
47.245.86.230,443,443,true,SIN,Asia Pacific,Singapore,27,4.93
47.236.10.100,2083,2083,true,SIN,Asia Pacific,Singapore,64,4.93
47.236.75.113,2083,2083,true,SIN,Asia Pacific,Singapore,72,4.92
8.210.55.134,8443,8443,true,HKG,Asia Pacific,Hong Kong,37,4.91
47.237.95.140,2083,2083,true,SIN,Asia Pacific,Singapore,53,4.90
47.245.86.230,2087,2087,true,SIN,Asia Pacific,Singapore,55,4.90
47.242.36.78,2053,2053,true,HKG,Asia Pacific,Hong Kong,54,4.89
47.236.9.152,2053,2053,true,SIN,Asia Pacific,Singapore,59,4.89
47.236.10.182,8443,8443,true,SIN,Asia Pacific,Singapore,56,4.89
8.210.48.107,8443,8443,true,HKG,Asia Pacific,Hong Kong,45,4.88
47.76.37.57,2096,2096,true,HKG,Asia Pacific,Hong Kong,70,4.88
47.242.59.216,2053,2053,true,HKG,Asia Pacific,Hong Kong,59,4.88
8.219.42.72,2053,2053,true,SIN,Asia Pacific,Singapore,110,4.88
8.222.181.117,443,443,true,SIN,Asia Pacific,Singapore,116,4.87
47.236.130.95,2096,2096,true,SIN,Asia Pacific,Singapore,111,4.87
8.222.146.222,2053,2053,true,SIN,Asia Pacific,Singapore,204,4.87
8.222.237.131,2053,2053,true,SIN,Asia Pacific,Singapore,47,4.87
47.236.83.239,8443,8443,true,SIN,Asia Pacific,Singapore,81,4.87
47.88.15.127,443,443,true,SJC,North America,San Jose,226,4.86
8.210.3.24,8443,8443,true,HKG,Asia Pacific,Hong Kong,38,4.86
47.245.86.230,2096,2096,true,SIN,Asia Pacific,Singapore,25,4.86
47.76.32.108,2053,2053,true,HKG,Asia Pacific,Hong Kong,75,4.86
47.236.202.91,8443,8443,true,SIN,Asia Pacific,Singapore,123,4.85
8.219.106.156,2096,2096,true,SIN,Asia Pacific,Singapore,145,4.85
